Relatório Gerencial de Investimentos - Confidencial,,,,,,
Gerado pelo sistema central em: 27/02/2026,,,,,,
,,,,,,
ID-Plataforma,Estado,Coluna_Fantasma,Jan_2026,Fev_2026,Mar_2026,Abr_2026
1001-Pinterest Ads,RJ,,7200,3258,6398,4413
1002-Google Ads,SP,,3188,3768,2974,4451
1003-LinkedIn Ads,,,1203,N/A,1023,3930
1004-Meta Ads,Rio de Janeiro,,3477,6293,4416,3906
1005-Google Ads,null,,1805,2291,2618,5587
1006-TikTok Ads,Rio de Janeiro,,6855,3427,1977,3048
1007-Pinterest Ads,SP,,5219,4778,Sem Registro,2200
1008-TikTok Ads,,,7025,4683,744,2317
1009-Meta Ads,Minas Gerais,,6111,4395,3896,5230
1010-LinkedIn Ads,S. Paulo,,2368,4650,3822,7554
1011-Pinterest Ads,null,,1709,817,7096,6658
1012-Pinterest Ads,Rio de Janeiro,,677,7877,7804,1469
1013-LinkedIn Ads,,,1497,2073,2023,7658
1014-Pinterest Ads,,,2300,6022,2771,N/A
1015-Pinterest Ads,,,1930,6565,4560,3329
1016-Meta Ads,,,7250,4333,7723,1988
1017-Pinterest Ads,RJ,,5133,5567,7959,2986
1018-LinkedIn Ads,Minas Gerais,,4040,1556,1832,4886
1019-Meta Ads,SP,,7597,2842,1039,7457
1020-Meta Ads,Rio,,7433,1564,850,3817
1021-LinkedIn Ads,Rio de Janeiro,,5315,1455,692,2289
1022-TikTok Ads,RJ,,1211,3041,6428,1798
1023-Meta Ads,Minas Gerais,,3703,2288,5668,7872
1024-Meta Ads,S. Paulo,,4615,5459,1138,5384
1025-TikTok Ads,São Paulo,,4369,7512,6671,6634
1026-Pinterest Ads,São Paulo,,5759,4309,1971,2609
1027-TikTok Ads,S. Paulo,,7542,3871,6997,2909
1028-Google Ads,RJ,,864,618,4877,2843
1029-Meta Ads,SP,,1051,2470,1346,1124
1030-Google Ads,N/A,,4120,1810,2031,7148
1031-LinkedIn Ads,São Paulo,,7484,5287,1544,6238
1032-LinkedIn Ads,N/A,,5343,7579,1806,1382
1033-LinkedIn Ads,S. Paulo,,4662,657,4887,6003
1034-Pinterest Ads,null,,3480,6376,7931,6661
1035-Pinterest Ads,MG,,1501,7389,4573,1581
1036-Google Ads,null,,6702,Falhou,4279,1715
1037-Google Ads,SP,,4335,7109,893,null
1038-LinkedIn Ads,S. Paulo,,5201,1374,2675,6270
1039-LinkedIn Ads,N/A,,5765,5923,1127,518
1040-TikTok Ads,MG,,5116,1737,6313,2968
1041-LinkedIn Ads,MG,,1261,4162,1911,6667
1042-Google Ads,Rio,,847,1105,3433,7008
1043-TikTok Ads,Minas Gerais,,4803,5941,2966,2796
1044-Pinterest Ads,MG,,4632,6781,3090,1604
1045-TikTok Ads,S. Paulo,,1962,1820,2964,6378
1046-Pinterest Ads,São Paulo,,3942,6043,6338,7828
1047-TikTok Ads,N/A,,6958,3837,N/A,2619
1048-TikTok Ads,SP,,4606,589,5392,7978
1049-Google Ads,São Paulo,,5697,7016,727,2175
1050-Google Ads,MG,,1712,4863,4019,674
1051-Google Ads,null,,2061,6044,5709,3362
1052-Google Ads,SP,,Erro_API,1730,3877,2600
1053-LinkedIn Ads,SP,,3035,7321,6337,970
1054-Pinterest Ads,São Paulo,,7837,1061,6848,7155
1055-Meta Ads,Rio,,7101,768,4693,6706
1056-TikTok Ads,Rio de Janeiro,,2940,7672,6485,4326
1057-Meta Ads,RJ,,7835,6888,4050,3976
1058-Meta Ads,São Paulo,,3358,4238,3622,5201
1059-Pinterest Ads,São Paulo,,3835,7215,3994,613
1060-Google Ads,SP,,2182,null,3062,5981
