id_lead,data_cadastro,interagiu_chatbot,ai_lead_score,status_assinatura
L-7389,2025-04-16,Sim,Frio,Trial
L-5166,2025-03-16,Nao,Frio,Ativo
L-2864,2025-04-24,,Frio,Cancelado
L-8583,2025-06-27,Nao,Morno,Ativo
L-8961,2025-06-17,Nao,Frio,Cancelado
L-2567,2025-06-14,Sim,Quente,Trial
L-2858,2025-01-19,Nao,Frio,Trial
L-6192,2025-02-08,Sim,Quente,Ativo
L-7930,2025-04-27,Nao,Frio,Cancelado
L-2874,2025-05-25,Nao,Morno,Cancelado
L-7363,2025-05-19,,Frio,Trial
L-9460,2025-02-10,Nao,Frio,Trial
L-2848,2025-07-16,,Quente,Ativo
L-6270,2025-01-05,,Quente,Ativo
L-8473,2025-08-17,Sim,Quente,Cancelado
L-3675,2025-12-27,Nao,Morno,Cancelado
L-8713,2025-05-13,Nao,Morno,Trial
L-8166,2025-07-03,,Frio,Trial
L-9689,2025-03-28,Nao,Morno,Ativo
L-9799,2025-12-03,Nao,Frio,Ativo
L-9304,2025-04-04,Sim,Morno,Cancelado
L-9373,2026-01-23,Sim,Frio,Trial
L-9423,2025-03-30,Sim,Quente,Trial
L-2763,2025-11-08,Nao,Morno,Trial
L-4670,2025-12-11,Nao,Frio,Trial
L-3002,2025-07-21,Sim,Quente,Inativo
L-4795,2025-10-18,Nao,Morno,Cancelado
L-9712,2025-04-19,Sim,Quente,Ativo
L-8038,2025-10-25,Sim,Quente,Trial
L-5363,2025-07-07,Nao,Frio,Ativo
L-1736,2025-02-16,Sim,Morno,Ativo
L-9482,2025-02-11,Nao,Morno,Trial
L-4423,2025-07-28,Nao,Morno,Ativo
L-7010,2025-06-01,Sim,Quente,Ativo
L-8638,2025-09-10,Sim,Quente,Ativo
L-2538,2025-12-27,Sim,Quente,Ativo
L-1867,2025-12-01,Nao,Morno,Trial
L-6368,2026-01-26,Nao,Frio,Cancelado
L-6811,2025-07-14,Sim,Quente,Ativo
