id_sessao,data_acesso,id_lead,utm_source,utm_medium,utm_campaign,custo_clique,converteu,receita_gerada
S-100001,2025-11-24 03:00:00,,GOOGLE,cpc,search_brand,1.64,Nao,0.0
S-100002,2025-10-30 13:00:00,,google,cpc,search_brand,2.01,Nao,0.0
S-100003,2025-10-07 13:00:00,, google,cpc,search_brand,2.37,Nao,0.0
S-100004,2025-05-23 04:00:00,,GOOGLE,cpc,search_brand,1.88,Nao,0.0
S-100005,2025-01-23 23:00:00,,meta,ads,ai_launch,1.38,Nao,0.0
S-100006,2025-07-05 18:00:00,,google,cpc,,1.73,Nao,0.0
S-100007,2025-02-21 12:00:00,,GOOGLE,organic,seo_blog,0.0,Nao,0.0
S-100008,2025-02-06 19:00:00,,instagram,ads,ai_launch,1.16,Nao,0.0
S-100009,2025-10-13 07:00:00,,meta,ads,ai_launch,1.03,Nao,0.0
S-100010,2025-10-18 22:00:00,,gogle ,organic,seo_blog,0.0,Nao,0.0
S-100011,2025-10-15 17:00:00,L-9085, google,organic,seo_blog,0.0,Nao,0.0
S-100012,2025-02-16 01:00:00,,tiktok,cpc,viral_trend,1.05,Nao,0.0
S-100013,2025-08-28 16:00:00,, google,organic,seo_blog,0.0,Nao,0.0
S-100014,2025-05-17 20:00:00,,GOOGLE,organic,seo_blog,0.0,Nao,0.0
S-100015,2025-09-14 05:00:00,,meta,ads,ai_launch,1.3,Nao,0.0
S-100016,2026-01-26 05:00:00,,instagram,ads,ai_launch,1.6,Nao,0.0
S-100017,2025-06-07 07:00:00,, google,cpc,search_brand,1.59,Nao,0.0
S-100018,2026-01-28 04:00:00,,gogle ,cpc,search_brand,1.67,Nao,0.0
S-100019,2025-10-04 23:00:00,,FB,ads,ai_launch,1.67,Nao,0.0
S-100020,2025-05-07 07:00:00,,google,cpc,search_brand,1.73,Nao,0.0
S-100021,2025-04-28 02:00:00,L-8744,e-mail,automation,welcome_flow,0.0,Nao,0.0
S-100022,2025-05-05 15:00:00,,tiktok,cpc,viral_trend,0.96,Nao,0.0
S-100023,2025-01-28 21:00:00,,meta,ads,ai_launch,1.73,Nao,0.0
S-100024,2025-10-02 14:00:00,,Google,cpc,search_brand,1.75,Nao,0.0
S-100025,2025-10-09 03:00:00,, google,cpc,search_brand,2.47,Nao,0.0
S-100026,2025-09-06 15:00:00,,gogle ,cpc,search_brand,1085.63,Nao,0.0
S-100027,2025-05-27 13:00:00,L-9883,instagram,ads,ai_launch,1.49,Nao,0.0
S-100028,2025-02-01 23:00:00,,google,organic,seo_blog,0.0,Nao,0.0
S-100029,2025-02-11 05:00:00,,google,cpc,search_brand,1.74,Nao,0.0
S-100030,2025-11-01 01:00:00,,facebook,ads,ai_launch,1.57,Nao,0.0
S-100031,2025-06-10 07:00:00,L-8508,Google,organic,seo_blog,0.0,Nao,0.0
S-100032,2025-11-15 18:00:00,L-5002,email,automation,welcome_flow,0.0,Nao,0.0
S-100033,2025-07-09 09:00:00,L-5905, google,cpc,search_brand,2.11,Nao,0.0
S-100034,2025-12-06 03:00:00,,email,automation,welcome_flow,0.0,Nao,0.0
S-100035,2025-04-18 22:00:00,,GOOGLE,organic,seo_blog,0.0,Nao,0.0
S-100036,2025-05-22 01:00:00,,Google,cpc,search_brand,1.76,Nao,0.0
S-100037,2025-01-05 03:00:00,L-6050,Google,cpc,search_brand,2.33,Nao,0.0
S-100038,2025-07-06 01:00:00,,tiktok,cpc,viral_trend,0.97,Nao,0.0
