ID_Venda,Data_Venda,Vendedor,Valor_Total
VND-2023-001,06/07/2023,Maria,2118
VND-2023-002,02/02/2023,Ana,1664
VND-2023-003,24/04/2023,Carlos,1529
VND-2023-004,06/09/2023,Carlos,3359
VND-2023-005,26/07/2023,Ana,1863
VND-2023-006,21/04/2023,Carlos,359
VND-2023-007,10/04/2023,Maria,1614
VND-2023-008,02/03/2023,João,2192
VND-2023-009,03/12/2023,Carlos,2360
VND-2023-010,26/04/2023,João,2217
VND-2023-011,07/05/2023,Ana,2255
VND-2023-012,24/11/2023,Carlos,1925
VND-2023-013,14/09/2023,Ana,3353
VND-2023-014,29/04/2023,Ana,2669
VND-2023-015,12/09/2023,Ana,3425
VND-2023-016,24/03/2023,Maria,536
VND-2023-017,29/03/2023,Carlos,964
VND-2023-018,09/04/2023,Maria,552
VND-2023-019,14/08/2023,João,3215
VND-2023-020,19/02/2023,Carlos,2923
VND-2023-021,28/02/2023,Maria,995
VND-2023-022,20/07/2023,Maria,2836
VND-2023-023,28/05/2023,Maria,3242
VND-2023-024,21/09/2023,Maria,1045
VND-2023-025,08/09/2023,Carlos,3087
VND-2023-026,13/08/2023,Maria,977
VND-2023-027,09/08/2023,Carlos,2739
VND-2023-028,28/05/2023,Carlos,1154
VND-2023-029,08/10/2023,Ana,2805
VND-2023-030,26/04/2023,Carlos,364
VND-2023-031,11/05/2023,Maria,2507
VND-2023-032,15/07/2023,João,2607
VND-2023-033,18/06/2023,João,694
VND-2023-034,22/06/2023,Carlos,1989
VND-2023-035,24/12/2023,Ana,164
VND-2023-036,04/06/2023,Carlos,409
VND-2023-037,06/11/2023,Ana,277
VND-2023-038,10/04/2023,Maria,425
VND-2023-039,04/11/2023,João,994
VND-2023-040,05/02/2023,Maria,1512
VND-2023-041,09/07/2023,Ana,971
VND-2023-042,01/03/2023,João,2633
VND-2023-043,12/11/2023,Ana,3354
VND-2023-044,10/10/2023,João,3089
VND-2023-045,21/11/2023,Ana,3088
VND-2023-046,26/06/2023,Carlos,1127
